 GapName  E0TL[MeV]   phase[deg]   pos[m]    
LI_ACS01A:RG11  +0.296598  +150.89    137.949928
LI_ACS01A:RG12  +0.296598  +150.66    138.036033
LI_ACS01A:RG13  +0.296598  +150.33    138.122138
LI_ACS01A:RG14  +0.296598  +149.92    138.208243
LI_ACS01A:RG15  +0.296598  +149.41    138.294349
LI_ACS01A:RG16  +0.296598  +148.82    138.380454
LI_ACS01A:RG17  +0.296598  +148.14    138.466559
LI_ACS01B:RG01  +0.299035  +148.27    139.331383
LI_ACS01B:RG02  +0.299035  +148.93    139.418216
LI_ACS01B:RG03  +0.299035  +149.50    139.505050
LI_ACS01B:RG04  +0.299035  +149.99    139.591884
LI_ACS01B:RG05  +0.299035  +150.38    139.678718
LI_ACS01B:RG06  +0.299035  +150.69    139.765552
LI_ACS01B:RG07  +0.299035  +150.91    139.852386
LI_ACS01B:RG08  +0.299035  +151.03    139.939219
LI_ACS01B:RG09  +0.299035  +151.07    140.026053
LI_ACS01B:RG10  +0.299035  +151.01    140.112887
LI_ACS01B:RG11  +0.299035  +150.87    140.199721
LI_ACS01B:RG12  +0.299035  +150.64    140.286555
LI_ACS01B:RG13  +0.299035  +150.32    140.373389
LI_ACS01B:RG14  +0.299035  +149.92    140.460222
LI_ACS01B:RG15  +0.299035  +149.43    140.547056
LI_ACS01B:RG16  +0.299035  +148.84    140.633890
LI_ACS01B:RG17  +0.299035  +148.18    140.720724
LI_ACS02A:RG01  +0.303069  +142.34    141.592763
LI_ACS02A:RG02  +0.303069  +143.73    141.680674
LI_ACS02A:RG03  +0.303069  +145.04    141.768585
LI_ACS02A:RG04  +0.303069  +146.27    141.856496
LI_ACS02A:RG05  +0.303069  +147.41    141.944407
LI_ACS02A:RG06  +0.303069  +148.46    142.032318
LI_ACS02A:RG07  +0.303069  +149.43    142.120229
LI_ACS02A:RG08  +0.303069  +150.31    142.208140
LI_ACS02A:RG09  +0.303069  +151.10    142.296051
LI_ACS02A:RG10  +0.303069  +151.81    142.383962
