z[m]        G0[T/m]       G1[T/m] 
     1.86279659        0.000000      0.000000 
     1.86580110        0.000000      0.000000 
     1.86880561        0.000000      0.000000 
     1.87181012        0.000000      0.000000 
     1.87481464        0.000000     -0.106054 
     1.87781915        0.000000     -0.134300 
     1.88082366        0.000000     -0.170830 
     1.88382817        0.000000     -0.218181 
     1.88683268        0.000000     -0.279634 
     1.88983719        0.000000     -0.359384 
     1.89284170        0.000000     -0.462704 
     1.89584621        0.000000     -0.596074 
     1.89885072        0.000000     -0.767193 
     1.90185523        0.000000     -0.984808 
     1.90485974        0.000000     -1.258213 
     1.90786425        0.000000     -1.596331 
     1.91086876        0.000000     -2.006292 
     1.91387327        0.000000     -2.491619 
     1.91687778        0.000000     -3.050295 
     1.91988230        0.000000     -3.673272 
     1.92288681        0.000000     -4.344050 
     1.92589132      -10.010400     -5.039832 
     1.92889583      -10.010400     -5.734244 
     1.93190034      -10.010400     -6.401051 
     1.93490485      -10.010400     -7.017817 
     1.93790936      -10.010400     -7.568518 
     1.94091387      -10.010400     -8.044558 
     1.94391838      -10.010400     -8.444229 
     1.94692289      -10.010400     -8.771152 
     1.94992740      -10.010400     -9.032314 
     1.95293191      -10.010400     -9.236250 
     1.95593642      -10.010400     -9.391631 
     1.95894093      -10.010400     -9.506328 
     1.96194544      -10.010400     -9.586883 
     1.96494995      -10.010400     -9.638278 
     1.96795447      -10.010400     -9.663856 
     1.97095898      -10.010400     -9.665331 
     1.97396349      -10.010400     -9.642802 
     1.97696800      -10.010400     -9.594756 
     1.97997251      -10.010400     -9.518054 
     1.98297702      -10.010400     -9.407916 
     1.98598153      -10.010400     -9.257984 
     1.98898604      -10.010400     -9.060530 
     1.99199055      -10.010400     -8.806942 
     1.99499506      -10.010400     -8.488601 
     1.99799957      -10.010400     -8.098234 
     2.00100408      -10.010400     -7.631697 
     2.00400859      -10.010400     -7.089938 
     2.00701310      -10.010400     -6.480643 
     2.01001761      -10.010400     -5.818934 
     2.01302212      -10.010400     -5.126564 
     2.01602664        0.000000     -4.429485 
     2.01903115        0.000000     -3.754264 
     2.02203566        0.000000     -3.124318 
     2.02504017        0.000000     -2.557024 
     2.02804468        0.000000     -2.062360 
     2.03104919        0.000000     -1.643150 
     2.03405370        0.000000     -1.296456 
     2.03705821        0.000000     -1.015490 
     2.04006272        0.000000     -0.791465 
     2.04306723        0.000000     -0.615073 
     2.04607174        0.000000     -0.477465 
     2.04907625        0.000000     -0.370795 
     2.05208076        0.000000     -0.288433 
     2.05508527        0.000000     -0.224959 
     2.05808978        0.000000     -0.176055 
     2.06109429        0.000000     -0.138334 
     2.06409881        0.000000     -0.109178 
     2.06710332        0.000000      0.000000 
     2.07010783        0.000000      0.000000 
     2.07311234        0.000000      0.000000 
     2.07611685        0.000000      0.000000 
     2.07912136        0.000000      0.000000 
     2.08212587        0.000000      0.000000 
     2.08513038        0.000000      0.000000 
     2.08813489        0.000000      0.000000 
     2.09113940        0.000000      0.000000 
     2.09414391        0.000000      0.000000 
     2.09714842        0.000000      0.000000 
     2.10015293        0.000000      0.000000 
     2.10315744        0.000000      0.000000 
     2.10616195        0.000000      0.000000 
     2.10916647        0.000000      0.000000 
     2.11217098        0.000000      0.000000 
     2.11517549        0.000000      0.000000 
     2.11818000        0.000000      0.000000 
     2.12118451        0.000000      0.000000 
     2.12418902        0.000000      0.000000 
     2.12719353        0.000000      0.000000 
     2.13019804        0.000000      0.000000 
     2.13320255        0.000000      0.000000 
     2.13620706        0.000000      0.000000 
     2.13921157        0.000000      0.000000 
     2.14221608        0.000000      0.000000 
     2.14522059        0.000000      0.000000 
     2.14822510        0.000000      0.000000 
     2.15122961        0.000000      0.000000 
     2.15423412        0.000000      0.000000 
     2.15723864        0.000000      0.000000 
     2.16024315        0.000000      0.000000 
     2.16324766        0.000000      0.000000 
     2.16625217        0.000000      0.000000 
     2.16925668        0.000000      0.000000 
     2.17226119        0.000000      0.000000 
     2.17526570        0.000000      0.000000 
     2.17827021        0.000000      0.000000 
     2.18127472        0.000000      0.000000 
     2.18427923        0.000000      0.000000 
     2.18728374        0.000000      0.000000 
     2.19028825        0.000000      0.000000 
     2.19329276        0.000000      0.000000 
     2.19629727        0.000000      0.000000 
     2.19930178        0.000000      0.000000 
     2.20230629        0.000000      0.000000 
     2.20531081        0.000000      0.000000 
     2.20831532        0.000000      0.000000 
     2.21131983        0.000000      0.000000 
     2.21432434        0.000000      0.000000 
     2.21732885        0.000000      0.000000 
     2.22033336        0.000000      0.000000 
     2.22333787        0.000000      0.000000 
     2.22634238        0.000000      0.000000 
     2.22934689        0.000000      0.000000 
     2.23235140        0.000000      0.000000 
     2.23535591        0.000000      0.000000 
     2.23836042        0.000000      0.000000 
     2.24136493        0.000000      0.000000 
     2.24436944        0.000000      0.000000 
     2.24737395        0.000000      0.000000 
     2.25037846        0.000000      0.000000 
     2.25338298        0.000000      0.000000 
     2.25638749        0.000000      0.000000 
     2.25939200        0.000000      0.000000 
     2.26239651        0.000000      0.000000 
     2.26540102        0.000000      0.000000 
     2.26840553        0.000000      0.000000 
     2.27141004        0.000000      0.000000 
