z[m]        G0[T/m]       G1[T/m] 
     1.91477361       61.353300     61.057627 
     1.91777483       61.353300     60.583522 
     1.92077604       61.353300     59.355876 
     1.92377725       61.353300     56.241523 
     1.92677846       61.353300     49.104977 
     1.92977968       61.353300     36.384104 
     1.93278089        0.000000     21.277672 
     1.93578210        0.000000      9.964890 
     1.93878331        0.000000      4.117464 
     1.94178453        0.000000      1.659274 
     1.94478574        0.000000      0.692692 
     1.94778695        0.000000      0.000000 
     1.95078816        0.000000      0.000000 
     1.95378938        0.000000      0.000000 
     1.95679059        0.000000      0.000000 
     1.95979180        0.000000      0.000000 
     1.96279301        0.000000      0.000000 
     1.96579423        0.000000      0.000000 
     1.96879544        0.000000      0.000000 
     1.97179665        0.000000      0.000000 
     1.97479786        0.000000      0.000000 
     1.97779908        0.000000      0.000000 
     1.98080029        0.000000     -0.856787 
     1.98380150        0.000000     -2.073759 
     1.98680271        0.000000     -5.152203 
     1.98980393        0.000000    -12.260014 
     1.99280514        0.000000    -25.150358 
     1.99580635      -63.514700    -40.829951 
     1.99880756      -63.514700    -52.846586 
     2.00180878      -63.514700    -59.153651 
     2.00480999      -63.514700    -61.819761 
     2.00781120      -63.514700    -62.862123 
     2.01081241      -63.514700    -63.263588 
     2.01381363      -63.514700    -63.404652 
     2.01681484      -63.514700    -63.411151 
     2.01981605      -63.514700    -63.288682 
     2.02281727      -63.514700    -62.928706 
     2.02581848      -63.514700    -61.991936 
     2.02881969      -63.514700    -59.588264 
     2.03182090      -63.514700    -53.818768 
     2.03482212      -63.514700    -42.460338 
     2.03782333        0.000000    -26.893052 
     2.04082454        0.000000    -13.418373 
     2.04382575        0.000000     -5.701783 
     2.04682697        0.000000     -2.296274 
     2.04982818        0.000000     -0.943925 
     2.05282939        0.000000      0.000000 
     2.05583060        0.000000      0.000000 
     2.05883182        0.000000      0.000000 
     2.06183303        0.000000      0.000000 
     2.06483424        0.000000      0.000000 
     2.06783545        0.000000      0.000000 
     2.07083667        0.000000      0.000000 
     2.07383788        0.000000      0.000000 
