 rf_gap   eKinIn[MeV] eKinOut[MeV]  beta_avg 
LI_ACS02A:RG14    202.884246  203.156091     0.56909336
LI_ACS02A:RG15    203.156091  203.428543     0.56937624
LI_ACS02A:RG16    203.428543  203.701389     0.56965930
LI_ACS02A:RG17    203.701389  203.974421     0.56994232
LI_ACS02B:RG01    203.974421  204.247795     0.57022527
LI_ACS02B:RG02    204.247795  204.520945     0.57050793
LI_ACS02B:RG03    204.520945  204.793667     0.57078992
LI_ACS02B:RG04    204.793667  205.065751     0.57107101
LI_ACS02B:RG05    205.065751  205.336983     0.57135100
LI_ACS02B:RG06    205.336983  205.607142     0.57162967
LI_ACS02B:RG07    205.607142  205.875997     0.57190677
LI_ACS02B:RG08    205.875997  206.143311     0.57218209
LI_ACS02B:RG09    206.143311  206.408831     0.57245538
LI_ACS02B:RG10    206.408831  206.672294     0.57272637
LI_ACS02B:RG11    206.672294  206.933424     0.57299480
LI_ACS02B:RG12    206.933424  207.191928     0.57326039
LI_ACS02B:RG13    207.191928  207.447499     0.57352283
LI_ACS02B:RG14    207.447499  207.699814     0.57378183
LI_ACS02B:RG15    207.699814  207.948532     0.57403705
LI_ACS02B:RG16    207.948532  208.193297     0.57428815
LI_ACS02B:RG17    208.193297  208.433737     0.57453477
LI_ACS03A:RG01    208.433737  208.678372     0.57478107
LI_ACS03A:RG02    208.678372  208.927297     0.57503140
LI_ACS03A:RG03    208.927297  209.180132     0.57528562
LI_ACS03A:RG04    209.180132  209.436516     0.57554333
LI_ACS03A:RG05    209.436516  209.696107     0.57580417
LI_ACS03A:RG06    209.696107  209.958577     0.57606778
LI_ACS03A:RG07    209.958577  210.223619     0.57633384
LI_ACS03A:RG08    210.223619  210.490940     0.57660204
LI_ACS03A:RG09    210.490940  210.760262     0.57687209
LI_ACS03A:RG10    210.760262  211.031323     0.57714369
LI_ACS03A:RG11    211.031323  211.303872     0.57741660
LI_ACS03A:RG12    211.303872  211.577671     0.57769055
LI_ACS03A:RG13    211.577671  211.852492     0.57796532
LI_ACS03A:RG14    211.852492  212.128115     0.57824067
LI_ACS03A:RG15    212.128115  212.404327     0.57851639
LI_ACS03A:RG16    212.404327  212.680923     0.57879226
LI_ACS03A:RG17    212.680923  212.957697     0.57906809
LI_ACS03B:RG01    212.957697  213.234770     0.57934382
LI_ACS03B:RG02    213.234770  213.511620     0.57961926
LI_ACS03B:RG03    213.511620  213.788046     0.57989405
LI_ACS03B:RG04    213.788046  214.063841     0.58016799
LI_ACS03B:RG05    214.063841  214.338795     0.58044088
LI_ACS03B:RG06    214.338795  214.612694     0.58071250
LI_ACS03B:RG07    214.612694  214.885311     0.58098265
